University Abbreviation;University User;BoT Job Id;BoT Task Index;BoT Task delay;Cloudlet;Status ;Datacenter;Host Name;Host PEs ;VM;VM PEs;CloudletLen;CloudletPEs;StartTime;FinishTime;ExecTime
UFRJ;UFRJ 6;6251103557;0;0;6;SUCCESS;UNIFESP_dc_0;UNIFESP_dc_0_host_0;4;6;1;515365627;1;0.1;149381.0;149381.0
UFRJ;UFRJ 2;6088049395;0;0;2;SUCCESS;UFRJ_dc_0;UFRJ_dc_0_host_0;4;2;1;1782461318;1;0.1;516655.0;516655.0
UFRJ;UFRJ 7;6251610439;0;0;7;SUCCESS;UNIFESP_dc_0;UNIFESP_dc_0_host_0;4;7;1;3701878214;1;0.1;1073008.0;1073008.0
UFRJ;UFRJ 5;6246031144;0;0;5;SUCCESS;UNIFESP_dc_0;UNIFESP_dc_0_host_0;4;5;1;3920535926;1;0.1;1136387.0;1136387.0
UFRJ;UFRJ 3;6243111979;0;0;3;SUCCESS;UFRJ_dc_0;UFRJ_dc_0_host_0;4;3;1;11862189833;1;0.1;3438316.0;3438316.0
UFRJ;UFRJ 1;6088049391;0;0;1;SUCCESS;UFRJ_dc_0;UFRJ_dc_0_host_0;4;1;1;69175668734;1;0.1;2.0050919E7;2.0050918E7
UFRJ;UFRJ 0;6088049387;0;0;0;SUCCESS;UFRJ_dc_0;UFRJ_dc_0_host_0;4;0;1;69665362424;1;0.1;2.0192859E7;2.0192859E7
UFRJ;UFRJ 4;6243371515;0;0;4;SUCCESS;UNIFESP_dc_0;UNIFESP_dc_0_host_0;4;4;1;73051357733;1;0.1;2.1174307E7;2.1174307E7
UNIFESP;UNIFESP 0;6251669132;0;633;1;SUCCESS;UNIFESP_dc_0;UNIFESP_dc_0_host_1;4;1;1;24733346;1;634.1;7803.0;7169.0
UNIFESP;UNIFESP 0;6251671514;0;74;3;SUCCESS;UNIFESP_dc_0;UNIFESP_dc_0_host_1;4;3;1;89667112;1;75.1;26066.0;25990.0
UNIFESP;UNIFESP 0;6251500408;0;47;2;SUCCESS;UNIFESP_dc_0;UNIFESP_dc_0_host_1;4;2;1;302306437;1;49.1;87674.0;87625.0
UNIFESP;UNIFESP 0;6251639598;0;0;0;SUCCESS;UNIFESP_dc_0;UNIFESP_dc_0_host_1;4;0;1;2056498270;1;0.1;596087.0;596086.0
